"X","ENTREZID","logFC","logCPM","LR","PValue","FDR","SYMBOL"
163,100126299,-5.61449834780401,2.18215400970661,12.8278053191964,0.000341506092745222,0.0283489999211604,"VTRNA2-1"
616,100134229,-4.8604469850432,3.08759166249601,16.224512525771,5.62614051403324e-05,0.0073606511149034,"KDM7A-DT"
630,100141515,-9.23254430540475,2.77295939868859,30.2649956969873,3.76866227374598e-08,1.62109578714619e-05,"C17orf99"
728,100189018,-8.674251774611,2.21918667701691,22.907710767924,1.69968658780273e-06,0.000406316666617297,"TRL-CAG1-6"
818,100189139,-7.60016857894268,1.25258110523231,12.7531234874048,0.000355415142299473,0.0291245703844221,"TRL-CAG1-5"
837,100189163,-5.11605328840705,3.56961420674342,20.9758849806535,4.65100944182476e-06,0.000936469206052518,"TRG-GCC2-5"
938,100189288,-8.51420301567369,2.0648192599233,21.0639230895596,4.44213279966849e-06,0.000907281655989845,"TRL-CAG1-7"
961,100189316,-7.4311726850645,1.11997362567151,11.6325281253126,0.000648084096273156,0.0436519872232775,"TRL-CAG1-3"
1077,10024,-7.6001483334506,1.32147568786514,12.8335136919284,0.00034046579954305,0.028345525070461,"TROAP"
1925,100505746,-7.6001424836674,1.38659365268804,12.5012472298138,0.000406680426810198,0.0319824302413892,"ITGB2-AS1"
1977,100505994,-7.43115245662707,1.19516775735192,11.8604798066408,0.000573377698332292,0.0407974758287062,"LUCAT1"
3445,101,-6.06937580294586,3.08974653754957,13.23781504237,0.000274357530226584,0.0247270167718499,"ADAM8"
3495,10107,-6.97080653725836,4.88425202630664,29.7301044407853,4.96576523826296e-08,2.10415037484008e-05,"TRIM10"
3503,10112,-5.40714287220807,1.90730958866499,12.0795579638783,0.000509776825682334,0.0377873735799516,"KIF20A"
3516,10124,-4.11446714272465,5.62678770326945,16.9375148162248,3.86305472645714e-05,0.00556711287736641,"ARL4A"
3589,10163,-4.25576509751136,7.69462699184711,12.799306549827,0.000346747855189824,0.0286167779326718,"WASF2"
3598,10169,-3.25072536247934,4.58760318217321,12.5482982618103,0.000396567281383636,0.0314484500516241,"SERF2"
3681,101927034,-8.674251774611,2.21918667701691,22.9038275908532,1.70312375228807e-06,0.000406316666617297,"ROR1-AS1"
4554,101929295,-7.4311726850645,1.11997362567151,11.6396577806925,0.000645604792122306,0.0436519872232775,"LNCRNA-IUR"
4782,101954273,-3.6126469913195,4.19005081518361,14.9503501025351,0.000110377580148437,0.0121458120171091,"RNVU1-1"
4785,101954277,-3.81028821586456,3.20638656267989,11.9510685907967,0.000546160475868107,0.039757681820245,"RNVU1-19"
4817,10216,-10.7274210365681,4.29425032177967,48.0835701613001,4.08434579994626e-12,7.73030515069829e-09,"PRG4"
5364,102723828,-8.01334606374695,1.60221825944469,15.8877937371642,6.7210795554863e-05,0.00827079825099484,"LINC02506"
5637,10318,-3.71628229332271,7.11131678434825,13.1561485697149,0.000286577317065307,0.0254247813483877,"TNIP1"
5669,10344,-7.4311726850645,1.11997362567151,11.6437277842746,0.000644193764837033,0.0436519872232775,"CCL26"
6495,10541,-3.96430071476882,7.47725249878737,12.7357712529351,0.000358727864256892,0.0291245703844221,"ANP32B"
6497,10544,-5.16671798178933,3.94463416524206,15.9532450277084,6.49263813644229e-05,0.00812008796007033,"PROCR"
6574,10627,-4.17014616353277,5.96354881160698,11.3568702861312,0.000751693862860448,0.0490588247508233,"MYL12A"
