"","ENTREZID","logFC","logCPM","LR","PValue","FDR","SYMBOL"
"46","100033439",7.71667634652168,2.98806163954794,7.07690766093122,0.00780836462899639,0.193711058967527,"SNORD116-27"
"47","100033440",-1.97804834917111,0.443839385320192,2.27415694636796,0.131546639870195,0.680759871664313,"SNORD115-3"
"48","100033441",5.5674448552786,1.12318091736518,2.35910158291133,0.124553903098305,0.665929436715797,"SNORD115-4"
"49","100033442",3.10672208390809,6.09710088275274,4.14740195906354,0.0416984562861492,0.414766929887472,"SNORD115-5"
"50","100033443",2.25534137236058,1.97638543530012,1.27231137981608,0.259333514093906,0.89366146453564,"SNORD115-6"
"51","100033444",0,-0.399843666772083,0,1,1,"SNORD115-7"
"52","100033445",1.23753501740733,2.43045659661045,0.565306663989564,0.452129973914015,1,"SNORD115-8"
"53","100033446",1.40864345586897,3.25101149875935,0.80053910515622,0.370932234817105,1,"SNORD115-9"
"54","100033447",1.51702233970445,4.13316136183229,1.29471496601961,0.25518085726478,0.889779481423127,"SNORD115-10"
"55","100033448",1.82354091395341,2.4846687900899,1.28362348138387,0.257226395810796,0.891764241918245,"SNORD115-11"
"56","100033449",2.09813125680173,3.13255122252751,1.81058560419164,0.178437997121158,0.778009130201507,"SNORD115-12"
"57","100033450",6.18974173047057,1.51639667545328,3.1685364237338,0.075069689489254,0.550849466763399,"SNORD115-13"
"58","100033451",2.80401554231906,2.44762771390887,2.13928883417464,0.143568432839842,0.70957238631761,"SNORD115-14"
"59","100033453",2.76523523512428,4.11530215427692,3.2509052281622,0.0713840238605279,0.540424649973437,"SNORD115-15"
"60","100033454",1.89394700073351,3.32803590030986,1.49416888379007,0.221570758896093,0.841847150237093,"SNORD115-16"
"61","100033455",7.42017314280331,2.45803226484008,5.70861094477663,0.0168818923719424,0.283763720804881,"SNORD115-17"
"62","100033456",7.59598847221579,2.59887389492786,5.74154262222305,0.0165682348533788,0.281323078640804,"SNORD115-18"
"63","100033458",7.54565171221243,2.53066274591637,5.88738806597962,0.0152497024953814,0.269408247569308,"SNORD115-19"
"64","100033460",-2.64636617775,2.44711576210316,3.99227770321435,0.0457092349819031,0.431124644895757,"SNORD115-20"
"65","100033603",6.49982779355452,1.71802234774864,3.75986604779567,0.0524967839769265,0.463139744283699,"SNORD115-21"
"66","100033799",6.63861340365273,1.82775377811052,3.79475695643859,0.0514133367676731,0.457063925364707,"SNORD115-22"
"67","100033800",0,-0.399843666772083,0,1,1,"SNORD115-23"
"68","100033801",3.47035859654571,0.0731728086727118,2.43951573299698e-07,0.999605913229816,1,"SNORD115-25"
"69","100033802",6.46304737230124,1.63361686489235,0.57166880032771,0.449596540621197,1,"SNORD115-26"
"70","100033803",2.24885934351276,2.73213466218938,1.6738066038566,0.195749446068105,0.806578631911976,"SNORD115-29"
"71","100033804",2.18986042893178,3.58790603514894,1.88633541721339,0.169615829914061,0.763499827375961,"SNORD115-30"
"72","100033805",5.29832635891098,0.890245224902707,4.68413904230576e-07,0.999453921702936,1,"SNORD115-31"
"73","100033806",3.484709651337,3.87399740171237,5.1948380115519,0.0226540663408493,0.32840191366101,"SNORD115-32"
"74","100033807",2.62251348773197,3.97292620391945,3.09564324102899,0.0785021215211575,0.56225526796426,"SNORD115-33"
